visitor_id,client_id
402506806_56087378777,555
66758770_53988066587,647
810392784_45004760546,934
42237450_62128060588,1028
194240915_18158000533,1104
446844663_31615102958,1186
766842522_69992551638,1195
753759429_54481946928,1197
123474046_4204671056,1346
366307863_19014662045,1368
182314299_63168583136,1516
910842861_51062379179,1643
121807985_20524560478,1643
470573753_93844895765,1702
230596682_29327090182,1755
619440135_40983729273,1836
883992205_24100452548,1936
607208067_70160939111,2439
770616558_80928163524,2581
560535515_73647480772,2720
48719955_20160099584,3232
339364993_3869667206,3572
742136411_92170694666,3647
179439784_83920302761,3743
162117827_70395546784,4369
929634148_40943099576,4484
587203336_56340498594,4603
263467736_20983070341,4717
217208323_14886849973,4870
233679354_36495397627,5354
107020087_57150768871,5845
180601604_64159554872,6022
237288803_52728549681,6150
378857471_644475492,6642
335388593_51472089542,6904
792636892_70609946663,6977
157368510_91928042506,6985
131463516_45910398094,7020
374207007_19518941180,7561
476824493_82594224170,7563
163847730_30321246396,7567
591719386_90464616750,7657
17946235_32107621969,7723
370980102_64628679348,7934
556674477_26750431479,8023
118857899_74239220729,8039
378922878_66802415648,8055
757154552_88739859416,8101
615009708_53442935870,8124
199799684_98530111815,8610
908190802_92056500491,8712
614608832_77543048071,8820
810786857_11889939941,9229
371374112_82466346974,9751
764845651_97641705844,9767
28074747_75599315539,9845
463677360_47276561020,9916
143222235_99177457862,10344
771736413_80019396313,10363
697479603_94041726558,11040
952592414_63731951988,11054
503142724_47551214565,11070
615941288_43248755936,11070
794370601_86104737583,11122
745847966_3445021353,11309
318031130_71925776535,11309
981741619_79128678482,11880
419605351_64615520304,12045
33331311_24456160977,12785
360435735_44466390795,13009
122192006_67309879998,13735
841596667_34744324631,13831
592410323_73923628204,13831
540335303_98817561630,14690
336553386_56689975698,14775
143172828_43549799833,15050
221904994_20377642514,15189
601984694_38256669083,15753
397008369_16010030989,15807
949438903_33910261122,16095
996452768_65675024001,16098
375602926_50119717068,16135
973833159_30067220181,16135
74006986_82466416065,16202
683840870_77493421156,16295
784001246_8842193453,16549
536420175_30932891358,16549
507602243_76391579078,16549
969102987_82457129532,16679
959665218_67396459252,16679
766096095_2144396134,16744
191665641_90974278230,16747
33353645_48956864438,16881
970665876_3539744812,17008
570333483_58821278508,17036
666738639_90225008330,17160
140068625_65716672913,17160
259783204_3998121043,17170
276401056_40671227044,17318
61137849_67876286105,17404
61226135_86116360124,18549
752495227_56656898955,18660
934481653_7373414750,18973
943295188_60353572812,19060
202312306_84458574057,19613
622496272_80605608962,19782
670697421_80054613810,19813
129098786_3400630737,19832
837374771_48545978049,20091
605452303_14846862358,20185
200556165_70944647198,20537
590842135_88427743978,20564
518790073_88128996012,20643
381789213_30254245920,20668
165663625_75766926467,20898
974431048_88054561536,21200
28758684_34903550390,21242
799353992_34176399455,21281
789016794_78682115112,21281
600870620_47652177803,21353
936232950_57093894746,21403
173393007_41593104172,21403
112796748_95489419773,21498
956380374_35738784925,21522
546824865_38801132695,21596
196314004_84192683360,21719
805212536_88115807517,21940
290323712_179611209,21940
884689567_69949404962,21970
166151908_48799916688,22007
125925278_70616268247,22793
7801409_9805440892,22885
45006070_62818213457,23276
138132593_28891880113,23864
601147774_68904952704,23914
934903928_93987640180,24079
506118219_28700413405,24443
239924652_19132521727,24443
630052492_58601863492,24572
499239169_38709744896,24703
857551556_48358885617,24710
376538741_96757012661,24841
127090872_40235777536,25022
325385302_31538608621,25026
126533598_19634703847,25043
166531704_28515622010,25766
971216415_4996757414,26036
506667135_49407923633,26070
550883110_33220778838,26105
182472276_98193362635,26211
108334206_5186343436,26286
120183556_11702430839,26696
533602374_23301907469,27021
76376417_52321967936,27075
111165291_70855004699,27241
157215519_55925767374,27241
173459122_5671827927,27554
353088136_59936336814,27764
769510355_13412064058,27764
467995192_57940147954,27907
614125491_26789370797,27988
106452709_58105598882,28241
866346652_30817910419,28371
114973176_59081782015,28542
671211728_52294615240,28705
274228726_97307081181,28845
92635092_88286701142,28857
813020763_73183145801,29227
577768523_87970524017,29527
343737541_19063774853,29595
48627717_99303689454,30318
936099753_84838702606,30462
493753122_31736508429,30493
435999517_58802561762,31191
91691909_20643284493,31264
770987620_27837112093,31336
536148944_46312713697,31336
403656745_34487644595,31404
927201320_93386695394,31499
997960069_79388660924,31502
810809574_85595370255,31597
272010997_86325403627,31715
513713631_3740744725,31766
212910548_17742344909,32197
192627031_48107277379,32305
192139291_60531026352,32471
873009817_62812737917,32521
65336966_69053834536,32746
658762479_98727780351,32859
18953743_34226483016,33190
257224930_63064202291,33265
952539351_71791673316,33463
737469005_1162315110,33472
395569730_42549547084,33752
903578810_54395828122,34067
878949952_71409503015,34101
65518856_8852359224,34267
744482577_79498082034,34501
123079717_22151462290,34501
924117810_5992136652,34603
834546916_29411132091,34608
292322273_82708113449,34631
320568594_22318736857,35010
847859473_16432287154,35087
442413682_90979726878,35091
454966636_52195672997,35138
127824352_19955282945,35181
372133373_9777574891,35257
468995570_54676761370,35346
384044523_23302560294,35417
949184072_89302440478,35476
161009914_19633878974,35476
492308256_27801351851,35922
306603996_85757417975,36109
850187911_34132878274,36109
278214760_37559572127,36342
33878264_91433644153,36363
482682471_38429318504,36430
17482617_23174269260,36432
969188417_56121692878,36555
537370319_38865702610,36986
856085193_40886570650,36986
128462938_15148991657,36986
488045465_27851224051,37064
19086232_16918855588,37295
824556260_32757551015,37408
868188978_93813762607,37423
368531344_83355278898,37423
175244635_80328083667,37423
194279758_42194465691,37423
946175297_48250572065,37667
573687012_67902583930,37691
265843170_4844183434,37705
977020002_95860536119,37897
472330432_75451065699,38275
459478474_64939057969,38275
903019674_51748678867,38283
489713062_7383835696,38340
171133364_38937720793,38551
950230521_52095100215,38685
423936024_77675215295,38714
243548377_24145371065,38775
661627740_45494224423,38930
652870083_67204095936,38963
158926310_26618566311,39004
94354315_5268740954,39075
596574190_95725555885,39566
116572260_42036780154,39968
622421878_74588817646,40283
282321216_77231559455,40439
479944611_77206434069,40969
969832983_23299275349,41122
83357546_65041838430,41142
987601219_6152478231,41142
991486731_20292544863,41142
913261768_75467961223,41199
772598303_16854215063,41237
749562539_73692211778,41516
884920411_47514559670,41652
102188708_12696450155,41924
159834504_86783116612,42082
658245487_7919822171,42296
223606082_33779902682,42296
61003530_8031624406,42349
443964560_51588345369,42725
474019471_20027768515,43494
672176156_90772122603,43494
237530550_2261243800,43645
937035979_75342230206,43766
368099332_80252248439,44060
106495154_2979425095,44216
87884205_27957779570,44705
104894175_78493940083,44860
56081593_66505656566,44932
21452428_80820082058,44995
683920784_15571221773,45131
81248672_45515656126,45131
547892773_78700320182,45232
972440526_74733680394,45232
396311649_48826079484,45232
893113311_14266477315,45485
123617415_92937601190,45510
125394029_76999674091,45510
773835808_97141187992,46223
997907788_66843892750,46790
352168170_9927740980,46934
854385699_7834303210,47402
631301170_99038286201,47571
595465238_38577196581,47860
843424419_56211326357,47933
436371609_24933651614,48241
479636985_28592326092,48424
997253304_77262644215,48424
780042332_72229467787,48424
76293008_70564161300,48431
344701472_79825157652,48448
720593921_49875119289,48448
316724696_76229373240,48724
356511134_9751666580,48724
260263920_63201765506,49412
519931502_26167985789,49450
753039508_18507230174,49709
850954995_67036552372,49998
97585989_82048991587,50053
580109212_23395623420,50090
409270338_40062267717,50185
904917113_89331760787,50271
809657100_79820630138,50325
502435643_66650990723,50599
979100069_88424590012,50643
209129483_94930539204,50692
747809304_71422812734,51493
935555432_19618565909,51526
219054602_94644032994,51706
306370586_34886046101,51814
407933819_5423056426,51902
814386630_70110636250,52111
5791144_57988866197,52111
144047185_28153710165,52111
38221831_54558861493,52309
249645604_8344240288,52384
925912936_1656564070,52456
896021644_63808047375,52461
260503955_41917390553,52743
500852995_95885249959,52765
337837453_65073922194,53094
956216741_94419537864,53123
930034355_30062243156,53126
147805733_4309405544,53169
300333864_80738517996,53396
796998471_72265240057,53990
381229517_77949606742,54231
979954555_97229287903,54291
832170045_56408583475,54363
218328765_92026803244,54477
185112383_13628505222,54893
443499056_56647518492,55059
912666277_70321299290,55265
840115343_7199681764,55448
902445890_26856025092,55951
281591841_49370524630,56294
223252475_23090603948,56529
490616591_14848505640,56570
840477802_83297517816,56782
330821824_42259886131,56923
819735877_60096987602,58001
720124391_7850825847,58001
938101258_47334305981,58194
983697480_34448825600,58196
500338642_657773211,58196
85325676_4234306123,58456
77260643_6025650290,58456
738314398_64542634741,58589
842997448_53853599914,58589
882635297_97720965095,58676
808071414_15558147351,58867
62669646_83783891965,58917
925213737_54450016842,58962
527550186_58690806202,59089
643214874_36921345,59152
576655088_2624848172,59360
970008507_18567069047,59605
418060379_33900106965,59782
661363920_60481792210,59802
7157580_20984012168,59860
130758730_15631068057,60101
568269944_90095283833,60802
618164865_47581693512,60802
36693402_98382992268,60958
851119198_4308559269,61007
209062843_79963952420,61487
262308157_99807681485,61650
528423427_17627254519,61961
798706495_14667707849,62058
790285716_78655669741,62284
819901939_80546968310,62498
759258929_31034969239,62503
336439133_86630162743,62754
585625211_93286771461,62791
385590432_35606249859,62805
304946154_37951323919,62837
574068411_92596445511,63001
788039467_77470294436,63377
292973074_17859813846,63507
564036747_43617938738,63796
309139074_72326312713,63879
605268032_30111756316,63879
766754533_81650079980,63879
765661732_27866554014,63955
773192540_37834411009,64020
376212514_55894681954,64058
458978041_31255485301,64635
64780469_40674921265,64635
129139037_82139221578,64871
883068502_27848800024,64885
738553635_30143599641,64964
4276840_15054699139,65221
650832682_25140855857,65716
465129038_56608944270,65845
435401135_13735136048,66160
978954790_49353031960,66160
788156762_5097367314,66169
605189298_77006253196,66539
419590133_34401740992,66543
734350288_81750556426,66930
341684336_18998852028,67390
266011884_84652463200,67452
239461965_68805823718,67845
49025663_80961170325,67845
207834758_83691442968,67925
350878140_69114809238,68116
929911788_24294990654,68170
978252446_10240099330,68276
558792514_19877364799,68830
518023075_39852009617,68854
441180684_43479770070,68884
615980025_4027510781,68886
287437938_75954439812,68963
340934634_44192334475,69255
310869805_9693330193,69255
116900530_1731084430,69568
216858913_53770699838,69591
340495265_64604408664,69598
10421061_82188662618,70225
513752800_98215052334,70576
693738277_30776696878,70863
214740816_63725162163,71159
560596510_93496651717,71296
29679030_51860974780,71476
239924782_72527602981,71626
299110719_98392160503,72074
81301971_27845799564,72074
82591170_39869421807,72221
70819629_34764690745,72388
773646164_21249473485,72395
824678189_57718831196,72915
880627155_51729533037,72916
509726992_95697515634,72988
969740731_20345806763,72988
36677609_11304866149,73331
134353583_52391412605,73335
978170378_80699230706,73453
111123105_42096754461,73453
473900224_2950395096,73615
40360257_23469897745,73648
331087954_11621568277,73910
417472226_13818715306,74169
949563634_15877679267,74169
815569575_43879545755,74564
594766114_70581599688,74844
809846003_57926678590,74976
441194699_83718029731,75033
232178745_89033983610,75381
624927408_57341416584,75490
435905126_25559298330,75642
85256436_19393418944,76424
716855974_2529319254,76429
234717028_96089057365,76481
13701593_48821368950,76481
684284063_21218027653,76635
910693228_71604201286,76775
