client_id,clnt_tenure_yr,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,bal_category,account_since_child
555,3,29,U,2,25454.66,2,6,bajo,no
647,12,57,M,2,30525.8,0,4,bajo,no
934,9,51,F,2,32522.88,0,3,bajo,no
1028,12,36,M,3,103520.22,1,4,medio,no
1104,5,48,U,3,154643.94,6,9,alto,no
1186,8,22,U,2,31662.52,0,3,bajo,yes
1195,21,54,M,2,28457.96,2,5,bajo,no
1197,7,28,U,5,177062.14,5,8,alto,no
1346,14,46,F,2,822512.91,3,6,alto,no
1368,5,45,F,3,61956.25,6,9,medio,no
1516,12,58,F,2,25408.39,5,8,bajo,no
1643,19,55,M,2,81731.39,0,3,medio,no
1702,21,62,U,3,1769255.99,5,8,alto,no
1755,9,46,M,2,179775.21999999997,0,3,alto,no
1836,13,51,M,2,826232.62,4,7,alto,no
1936,5,26,M,2,52447.9,6,9,medio,no
2439,11,56,M,2,504142.55,0,3,alto,no
2581,4,22,M,2,24976.79,1,4,bajo,no
2720,9,25,M,3,81536.0,6,9,medio,yes
3232,9,52,F,2,45617.96,3,6,medio,no
3572,15,54,M,2,84673.58,0,3,medio,no
3647,15,63,F,2,154244.15,4,7,alto,no
3743,6,30,U,3,48262.21,3,6,medio,no
4369,14,70,F,2,191263.96,0,3,alto,no
4484,16,48,M,2,51499.77,2,5,medio,no
4603,12,38,F,2,48726.26,6,9,medio,no
4717,7,58,U,2,1739571.5499999998,6,9,alto,no
4870,21,26,M,3,89408.8,6,9,medio,yes
5354,4,50,U,2,62282.38,2,5,medio,no
5845,23,76,F,2,213906.62,2,5,alto,no
6022,7,30,U,2,36485.55,6,9,bajo,no
6150,27,67,F,2,199928.94,2,6,alto,no
6642,12,35,M,2,34987.23,0,3,bajo,no
6904,12,64,M,2,348285.51,6,9,alto,no
6977,4,53,U,2,26011.36,0,3,bajo,no
6985,7,61,U,3,84975.6,6,9,medio,no
7020,16,41,F,2,63648.09,2,5,medio,no
7561,11,33,M,2,35070.619999999995,6,9,bajo,no
7563,8,29,M,3,186719.52,6,9,alto,no
7567,21,33,F,2,27165.99,1,5,bajo,yes
7657,18,41,M,2,55643.37,2,5,medio,no
7723,30,54,M,4,571316.8,5,8,alto,no
7934,20,44,F,2,126480.9,6,9,medio,no
8023,21,50,F,2,34676.55,3,6,bajo,no
8039,18,58,U,2,79960.0,6,9,medio,no
8055,22,55,M,2,710672.04,5,8,alto,no
8101,11,70,M,2,257863.03,6,9,alto,no
8124,14,42,M,2,61022.23,5,8,medio,no
8610,8,27,U,2,36626.55,0,3,bajo,no
8712,9,38,U,2,84995.78,1,4,medio,no
8820,4,25,U,2,44159.49,2,5,medio,no
9229,8,42,M,2,78242.15,6,9,medio,no
9751,5,36,M,2,30597.08,4,7,bajo,no
9767,6,34,M,2,29523.54,1,4,bajo,no
9845,5,25,F,2,31196.85,0,3,bajo,no
9916,17,40,M,2,162968.55,4,7,alto,no
10344,17,82,M,2,94009.47,3,6,medio,no
10363,6,26,U,3,81518.45999999999,6,9,medio,no
11040,5,31,U,3,50531.17999999999,6,9,medio,no
11054,4,60,M,2,208185.54,2,5,alto,no
11070,14,53,M,3,255988.05,6,9,alto,no
11122,16,40,M,2,31193.51,2,5,bajo,no
11309,10,46,F,3,647166.9600000001,5,8,alto,no
11880,5,27,U,2,61355.21,6,9,medio,no
12045,12,37,F,2,140704.74,2,5,alto,no
12785,15,51,F,2,82425.54999999999,2,5,medio,no
13009,10,63,U,2,71534.88,1,4,medio,no
13735,11,27,M,2,119530.99,5,8,medio,yes
13831,16,42,F,3,241208.2,6,9,alto,no
14690,6,43,M,3,205881.18,5,8,alto,no
14775,15,28,F,4,150775.9,5,8,alto,yes
15050,26,52,F,3,65688.56,6,9,medio,no
15189,5,19,U,3,52505.2,1,4,medio,yes
15753,6,58,M,2,59565.0,3,6,medio,no
15807,4,27,F,2,59259.9,3,6,medio,no
16095,6,30,U,2,81652.98,1,4,medio,no
16098,6,36,U,3,58643.48,2,5,medio,no
16135,14,63,F,2,173616.2,3,6,alto,no
16202,7,36,U,2,32984.48,1,4,bajo,no
16295,23,55,F,2,77984.93,2,5,medio,no
16549,24,55,F,3,314799.02,4,7,alto,no
16679,7,40,U,2,65987.79999999999,6,9,medio,no
16744,18,62,F,2,117267.04,1,4,medio,no
16747,13,31,F,2,64652.09,1,4,medio,no
16881,5,55,U,3,72457.16,6,9,medio,no
17008,25,55,M,2,27571.03,1,4,bajo,no
17036,5,34,U,3,49959.53,3,6,medio,no
17160,14,53,F,3,140511.63,6,9,alto,no
17170,15,63,M,2,83531.35,3,6,medio,no
17318,16,69,M,2,51120.27,0,3,medio,no
17404,5,37,U,2,45770.59,3,6,medio,no
18549,22,43,M,3,55374.98,4,7,medio,no
18660,18,45,M,2,98708.9,2,5,medio,no
18973,13,54,M,4,353529.66,1,4,alto,no
19060,9,55,M,2,70494.94,0,3,medio,no
19613,7,26,U,2,69056.51999999999,4,7,medio,no
19782,6,61,U,2,27840.35,2,5,bajo,no
19813,14,65,F,2,31462.06,0,3,bajo,no
19832,14,63,F,2,97291.64,3,6,medio,no
20091,5,21,U,3,69958.08,5,8,medio,yes
20185,15,60,F,2,69992.51999999999,2,5,medio,no
20537,9,74,F,2,72955.33,6,9,medio,no
20564,10,55,M,6,1648443.6,3,6,alto,no
20643,9,34,M,2,59487.79,2,5,medio,no
20668,28,68,F,2,38528.21,5,8,medio,no
20898,4,27,U,2,44859.81,3,6,medio,no
21200,5,61,U,2,244443.18,6,9,alto,no
21242,13,30,F,2,42414.56,6,9,medio,yes
21281,12,63,M,2,24221.12,0,3,bajo,no
21353,21,77,F,2,25418.25,2,5,bajo,no
21403,11,41,F,2,74353.32,1,4,medio,no
21498,16,70,F,2,50672.1,5,8,medio,no
21522,4,65,F,2,76748.89,6,9,medio,no
21596,11,43,U,2,56511.63,0,3,medio,no
21719,5,27,M,2,30765.88,0,3,bajo,no
21940,12,43,M,2,33031.88,6,9,bajo,no
21970,5,22,U,4,170906.62,4,7,alto,yes
22007,10,75,F,2,168540.65000000002,6,9,alto,no
22793,16,55,M,2,219289.2,1,4,alto,no
22885,5,32,F,3,149784.99,6,9,alto,no
23276,13,67,M,2,183345.95,3,6,alto,no
23864,16,47,M,2,192922.53,2,5,alto,no
23914,7,25,U,2,30797.88,4,7,bajo,no
24079,10,30,F,2,183067.04,6,9,alto,no
24443,10,49,M,2,331869.28,6,9,alto,no
24572,6,23,F,2,52351.16,3,6,medio,yes
24703,5,30,F,3,30123.94,6,9,bajo,no
24710,21,49,F,3,499093.11,4,7,alto,no
24841,14,70,M,2,122013.3,6,9,medio,no
